ymd,value
2012-03-30,0.109811188811189
2012-03-31,0.110496503496504
2012-04-01,0.108513888888889
2012-04-02,0.109222222222222
2012-04-03,0.110479166666667
2012-04-04,0.108444444444444
2012-04-05,0.109340277777778
2012-04-06,0.109423611111111
2012-04-07,0.10975
2012-04-08,0.110041666666667
2012-04-09,0.110381944444444
2012-04-10,0.110222222222222
2012-04-11,0.111930555555556
2012-04-12,0.107555555555556
2012-04-13,0.108993055555556
2012-04-14,0.112840277777778
2012-04-15,0.1073125
2012-04-16,0.108
2012-04-17,0.109444444444444
2012-04-18,0.107041666666667
2012-04-19,0.107347222222222
2012-04-20,0.107756944444444
2012-04-21,0.107993055555556
2012-04-22,0.108479166666667
2012-04-23,0.106548611111111
2012-04-24,0.106993055555556
2012-04-25,0.107965277777778
2012-04-26,0.108569444444444
2012-04-27,0.109472222222222
2012-04-28,0.106527777777778
2012-04-29,0.1079375
2012-04-30,0.1079375
2012-05-01,0.107930555555556
2012-05-02,0.108381944444444
2012-05-03,0.112215277777778
2012-05-04,0.107069444444444
2012-05-05,0.106784722222222
2012-05-06,0.108131944444444
2012-05-07,0.108118055555556
2012-05-08,0.107444444444444
2012-05-09,0.109916666666667
2012-05-10,0.107451388888889
2012-05-11,0.106604166666667
2012-05-12,0.106625
2012-05-13,0.107159722222222
2012-05-14,0.1078125
2012-05-15,0.1120625
2012-05-16,0.106111111111111
2012-05-17,0.106923611111111
2012-05-18,0.108743055555556
2012-05-19,0.107041666666667
2012-05-20,0.107333333333333
2012-05-21,0.107222222222222
2012-05-22,0.106708333333333
2012-05-23,0.105604166666667
2012-05-24,0.106395833333333
2012-05-25,0.108125
2012-05-26,0.106513888888889
2012-05-27,0.107840277777778
2012-05-28,0.108145833333333
2012-05-29,0.112819444444444
2012-05-30,0.107069444444444
2012-05-31,0.1056875
2012-06-01,0.106888888888889
2012-06-02,0.105104166666667
2012-06-03,0.105520833333333
2012-06-04,0.106944444444444
2012-06-05,0.106986111111111
2012-06-06,0.106152777777778
2012-06-07,0.106833333333333
2012-06-08,0.108111111111111
2012-06-09,0.107979166666667
2012-06-10,0.104388888888889
2012-06-11,0.105347222222222
2012-06-12,0.106833333333333
2012-06-13,0.104715277777778
2012-06-14,0.105395833333333
2012-06-15,0.106097222222222
2012-06-16,0.105638888888889
2012-06-17,0.1050625
2012-06-18,0.106083333333333
2012-06-19,0.105659722222222
2012-06-20,0.106666666666667
2012-06-21,0.1059375
2012-06-22,0.105111111111111
2012-06-23,0.104805555555556
2012-06-24,0.105611111111111
2012-06-25,0.104861111111111
2012-06-26,0.105541666666667
2012-06-27,0.106083333333333
2012-06-28,0.10675
2012-06-29,0.107319444444444
2012-06-30,0.108048611111111
2012-07-01,0.108930555555556
2012-07-02,0.105631944444444
2012-07-03,0.106986111111111
2012-07-04,0.104854166666667
2012-07-05,0.105854166666667
2012-07-06,0.1074375
2012-07-07,0.108111111111111
2012-07-08,0.104625
2012-07-09,0.104458333333333
2012-07-10,0.105534722222222
2012-07-11,0.106631944444444
2012-07-12,0.107118055555556
2012-07-13,0.106486111111111
2012-07-14,0.107222222222222
2012-07-15,0.104784722222222
2012-07-16,0.105201388888889
2012-07-17,0.106756944444444
2012-07-18,0.1060625
2012-07-19,0.107034722222222
2012-07-20,0.10675
2012-07-21,0.106666666666667
2012-07-22,0.106798611111111
2012-07-23,0.107430555555556
2012-07-24,0.108430555555556
2012-07-25,0.109909722222222
2012-07-26,0.109694444444444
2012-07-27,0.111020833333333
2012-07-28,0.110423611111111
2012-07-29,0.110319444444444
2012-07-30,0.110645833333333
2012-07-31,0.110236111111111
2012-08-01,0.111361111111111
2012-08-02,0.111770833333333
2012-08-03,0.111194444444444
2012-08-04,0.111402777777778
2012-08-05,0.111833333333333
2012-08-06,0.110729166666667
2012-08-07,0.111638888888889
2012-08-08,0.106430555555556
2012-08-09,0.107833333333333
2012-08-10,0.108791666666667
2012-08-11,0.110541666666667
2012-08-12,0.105916666666667
2012-08-13,0.106097222222222
2012-08-14,0.107652777777778
2012-08-15,0.107520833333333
2012-08-16,0.106958333333333
2012-08-17,0.108465277777778
2012-08-18,0.108381944444444
2012-08-19,0.108298611111111
2012-08-20,0.109006944444444
2012-08-21,0.109229166666667
2012-08-22,0.109791666666667
2012-08-23,0.110076388888889
2012-08-24,0.110097222222222
2012-08-25,0.110777777777778
2012-08-26,0.110673611111111
2012-08-27,0.111555555555556
2012-08-28,0.111034722222222
2012-08-29,0.112118055555556
2012-08-30,0.111694444444444
2012-08-31,0.112138888888889
2012-09-01,0.111083333333333
2012-09-02,0.107944444444444
2012-09-03,0.108381944444444
2012-09-04,0.10875
2012-09-05,0.106993055555556
2012-09-06,0.108854166666667
2012-09-07,0.105284722222222
2012-09-08,0.106375
2012-09-09,0.106361111111111
2012-09-10,0.107145833333333
2012-09-11,0.106986111111111
2012-09-12,0.106472222222222
2012-09-13,0.107819444444444
2012-09-14,0.107513888888889
2012-09-15,0.10825
2012-09-16,0.107888888888889
2012-09-17,0.1075
2012-09-18,0.106472222222222
2012-09-19,0.104541666666667
2012-09-20,0.10525
2012-09-21,0.106076388888889
2012-09-22,0.104722222222222
2012-09-23,0.107083333333333
2012-09-24,0.103333333333333
2012-09-25,0.103763888888889
2012-09-26,0.103625
2012-09-27,0.103798611111111
2012-09-28,0.103513888888889
2012-09-29,0.1043125
2012-09-30,0.104763888888889
2012-10-01,0.104625
2012-10-02,0.104993055555556
2012-10-03,0.105229166666667
2012-10-04,0.103131944444444
2012-10-05,0.103534722222222
2012-10-06,0.103986111111111
2012-10-07,0.107986111111111
2012-10-08,0.102319444444444
2012-10-09,0.102833333333333
2012-10-10,0.103194444444444
2012-10-11,0.104347222222222
2012-10-12,0.103611111111111
2012-10-13,0.103111111111111
2012-10-14,0.104763888888889
2012-10-15,0.103409722222222
2012-10-16,0.103409722222222
2012-10-17,0.105652777777778
2012-10-18,0.104388888888889
